월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,(주)최고식품,60668,"1,190",180,0,180,83,97
2월,광고주,CS파트,js교육,47687,910,137,0,137,83,54
2월,광고주,CS파트,나무판때기,46009,920,138,0,138,83,55
2월,광고주,SAE팀,주식회사 담은푸드,60819,"1,160",174,0,174,80,94
2월,광고주,CS파트,주식회사 케이에이치오토,60361,810,122,0,122,74,48
2월,광고주,CS파트,아이앤텍,45364,770,116,0,116,71,45
2월,광고주,SAE팀,레디션,60911,920,139,0,139,64,75
2월,광고주,CS파트,세광기업,46875,680,102,0,102,62,40
2월,광고주,CS파트,에스티라이트,28002,660,99,0,99,61,38
2월,광고주,CS파트,광명고주파전기,36890,580,87,0,87,53,34
2월,광고주,SAE팀,턴잇인코리아 유한회사,57308,720,108,0,108,50,58
2월,광고주,SAE팀,소프트하모니 인터내셔널,53179,690,104,0,104,48,56
2월,광고주,SAE팀,연세우리치과의원,55374,560,84,0,84,39,45
2월,광고주,CS파트,인포라인,44191,"346,100",66,0,66,39,27
2월,광고주,CS파트,세종이화발레학원,50736,420,63,0,63,38,25
2월,광고주,CS파트,부영목재포장,24938,420,63,0,63,38,25
2월,광고주,CS파트,소망녹취속기사무소,37892,410,62,0,62,37,25
2월,광고주,CS파트,상록지붕방수,48676,410,62,0,62,37,25
2월,광고주,CS파트,서울소독,55636,340,51,0,51,31,20
2월,광고주,CS파트,한국욕실공사,56597,240,36,0,36,21,15
2월,광고주,SAE팀,플로스앤가든,61300,280,43,0,43,20,23
2월,광고주,CS파트,성우오토텍(주),58632,220,33,0,33,20,13
2월,광고주,SAE팀,지축소야한우정육식당,61553,280,42,0,42,19,23
2월,광고주,CS파트,한솔테크,17521,210,32,0,32,19,13
2월,광고주,CS파트,테라스플러스,61041,180,27,0,27,17,10
2월,광고주,CS파트,아세아,41495,160,24,0,24,15,9
2월,광고주,CS파트,싱글하우스 한성대점,27655,140,21,0,21,13,8
2월,광고주,SAE팀,파인애플 피티엘,60721,140,21,0,21,10,11
2월,광고주,CS파트,크린몰,51293,80,12,0,12,7,5
2월,광고주,CS파트,더 플렌티,60055,60,9,0,9,6,3
2월,광고주,CS파트,주식회사 대진메디슨,56143,70,11,0,11,6,5
2월,광고주,CS파트,우리컴(우리파츠),41552,70,11,0,11,6,5
2월,광고주,CS파트,남한강레포츠,43868,70,11,0,11,6,5
2월,광고주,SAE팀,주식회사 스타플랫폼,61197,70,11,0,11,5,6
2월,광고주,광고사업3본부1실,주식회사 베리타스에듀,57385,70,11,0,11,2,9
2월,광고주,광고사업1본부,갤럭시텔,50836,"108,650","16,298",0,"16,298",0,"16,298"
2월,광고주,SAE팀,내곡웰치과의원,60727,"2,800",0,0,0,0,0
2월,광고주,SAE팀,서울이웰치과의원,57173,"20,390",0,0,0,0,0
2월,광고주,SAE팀,금성관 나주곰탕,60710,"389,873",-529,0,-529,0,-529
2월,광고주,사업지원팀,주식회사 콤텍인터내셔널,45500,"200,530",0,0,0,0,0
2월,광고주,HRD팀,마스터피스,60431,"14,180","2,127",0,"2,127",0,"2,127"
2월,광고주,(202301) 채널팀,신한네트워크,44135,900,136,0,136,0,136
2월,광고주,미디어채널팀,(주)중앙애드넷아이엔씨,60991,"1,999,856",0,0,0,0,0
2월,광고주,미디어채널팀,(주)아이디어키,60932,"5,844,759","107,497",0,"107,497",0,"107,497"
2월,광고주,미디어채널팀,주식회사 디포캐스트,60918,"95,891,831","1,247,842","381,120","866,722",0,"866,722"
2월,광고주,미디어채널팀,주식회사 코마스인터렉티브,61012,"113,454,516","6,545,950","5,862,674","683,276",0,"683,276"
